domain,entity,entity_qid,property,prop_type,dbpedia,wikidata,conflict_type,correct_source,reasoning,human_conflict_type,human_correct_source,human_notes
scientist,Costin Nenițescu,Q869351,birth_place,entity,Bucharest,Ferentari,granularity,both_valid,"Ferentari is a neighborhood located within Bucharest. Both values are correct, but Wikidata provides a more specific location within the city.",,,
scientist,Dieter Lüst,Q91412,alma_mater,entity,Ludwig Maximilian University of Munich,Technical University of Munich,factual,wikidata,Dieter Lüst received his diploma and doctorate from the Technical University of Munich. He did not attend Ludwig Maximilian University of Munich.,,,
scientist,Clemens Winkler,Q73523,birth_place,entity,Kingdom of Saxony,Freiberg,granularity,both_valid,Freiberg is a city that was located within the Kingdom of Saxony during Clemens Winkler's lifetime. Both values are factually correct but represent different levels of geographical specificity (city vs. historical state/region).,,,
scientist,Claude Cohen-Tannoudji,Q190697,alma_mater,entity,École normale supérieure (Paris),Lycée Émir Abdelkader,factual,dbpedia,"École normale supérieure (Paris) is Claude Cohen-Tannoudji's higher education institution (alma mater). Lycée Émir Abdelkader is a high school, which is not typically referred to as 'alma mater' in this context, making the Wikidata value factually incorrect for the property's common interpretation.",,,
scientist,David C. Hanna,Q74531,birth_date,date,1941-04-10,1941-01-01T00:00:00Z,factual,dbpedia,"The values genuinely disagree on the specific day and month of birth (April 10 vs January 1). External sources confirm David C. Hanna's birth date as April 10, 1941, making DBpedia's value correct.",,,
scientist,Daniel Sennert,Q75164,birth_place,entity,Habsburg monarchy,Wrocław,granularity,both_valid,"Wrocław is a specific city, while the Habsburg monarchy was the larger political entity that encompassed Wrocław at the time of Daniel Sennert's birth (1572). Both values are factually correct but at different levels of geographical specificity.",,,
company,AgniKul Cosmos,Q104879236,industry,entity,Aerospace,space industry,granularity,both_valid,"The 'space industry' is a more specific sub-category within the broader 'aerospace' industry. Both values are correct descriptions of AgniKul Cosmos's field, but at different levels of specificity.",,,
company,A&O Hotels and Hostels,Q15890910,industry,entity,Hotel,youth hostel,granularity,both_valid,A youth hostel is a specific type of hotel. Both values are correct but at different levels of specificity.,,,
company,ATG Stores,Q4654672,industry,entity,Online shopping,retail,granularity,both_valid,"Online shopping is a specific type or channel within the broader retail industry. Both values are correct, with DBpedia providing a more specific classification.",,,
company,Eswatini Stock Market,Q4409921,industry,entity,Finance,financial services,granularity,both_valid,"'Financial services' is a more specific term within the broader 'Finance' industry. Both are correct descriptions for the industry of a stock market, with Wikidata providing a more granular detail.",,,
company,Renaissance Broadcasting,Q7312402,industry,entity,Television,broadcasting,granularity,both_valid,Television is a specific type of broadcasting. Both values are correct but at different levels of specificity; 'Television' is more specific than 'broadcasting'.,,,
company,McIntyre Mines,Q6801652,founding_date,date,1911-03-16,1911-01-01T00:00:00Z,format,both_valid,"Both values represent the same date, March 16, 1911. Wikidata's value includes a time component, which is a common format for dates in Wikidata, but it doesn't change the core date information. DBpedia's value is a simpler date format.",,,
company,UK Addiction Treatment,Q65091280,industry,entity,Drug rehabilitation,health care,granularity,both_valid,"Drug rehabilitation is a specific type of service or sub-industry within the broader health care industry. Both values are correct, but DBpedia provides a more specific classification.",,,
company,Hopium,Q107361066,founding_date,date,2019-10-28,2018-10-28T00:00:00Z,factual,dbpedia,"The values disagree on the founding year (2019 vs 2018). External sources confirm Hopium was founded in 2019, making DBpedia's value more accurate.",,,
company,Yogibo,Q107412017,country,entity,United States,Japan,temporal,both_valid,Yogibo was founded in the United States. It was later acquired by a Japanese company and its headquarters moved to Japan. Both values were correct at different points in time regarding its national affiliation (origin vs. current headquarters/ownership).,,,
company,Studio Flad,Q107411970,industry,entity,Animation studio,anime industry,granularity,wikidata,"DBpedia's value 'Animation studio' is a broader category, while Wikidata's value 'anime industry' is a more specific sub-category within the animation industry, which is more precise for Studio Flad's operations.",,,
company,Airgas,Q80635,industry,entity,Gas,industrial gas,granularity,both_valid,"Airgas operates in the industrial gas industry, which is a more specific category within the broader 'Gas' industry. Both values are correct, but Wikidata provides a more specific description.",,,
